Date_Listened,Song_Name,Artist,Feature_Artists,Album,Duration,Genre,Subgenre,Tempo_BPM,Key_Signature,Album_Release_Date
2023/02/06,Party Monster,The Weeknd,,Starboy,249,Pop,Electropop,78,C# Major,2016/11/25
2023/02/06,The Knowing,The Weeknd,,Trilogy,340,R&B,Alternative R&B,86,F# Minor,2012/11/13
2023/02/06,MAFIA,Travis Scott,,ESCAPE PLAN / MAFIA,240,Hip-Hop,Trap,110,C Minor,2021/11/05
2023/02/06,White Dress,Lana Del Rey,,Chemtrails Over The Country Club,333,Pop,Indie Pop,123,C Major,2021/03/19
2023/02/06,Hold you up (feat. Annahstasia & Steven Bamidele),KayCyy,"Annahstasia, Steven Bamidele",Get Used To It ,236,Soul,Alternative Soul,200,A# Minor,2022/06/02
2023/02/06,Let The Smokers Shine The Coupes,Pusha T,,It's Almost Dry,150,Hip-Hop,Rap,99,C# Major,2022/04/22
2023/02/06,Diet Coke,Pusha T,,It's Almost Dry,180,Hip-Hop,Rap,164,A# Minor,2022/04/22
2023/02/06,Mask Off,Future,,FUTURE,204,Hip-Hop,Trap,150,D Major,2017/06/30
2023/02/06,FREAK IN YOU,PARTYNEXTDOOR,,COLOURS 2,272,R&B,Contemporary R&B,87,C# Major,2017/06/02
2023/02/07,Government Official,Future,,SAVE ME,150,Hip-Hop,Trap,145,C# Major,2019/06/07
2023/02/07,Massage In My Room,Future,,FUTURE,155,Hip-Hop,Trap,76,C# Major,2017/06/30
2023/02/07,No Romance,Lyfe Harris,,Since We're Here,137,R&B,Trap Soul,105,G Major,2020/04/04
2023/02/07,Mission,Norman Perry,,Way Darker This Time,127,R&B,Trap Soul,136,F# Minor,2020/04/10
2023/02/07,Medals,Lyfe Harris,,Since We're Here,148,R&B,Trap Soul,102,102,2020/04/04
2023/02/07,Uncontrollable,Artie J,,Emotional Indulgence,141,R&B,Trap Soul,112,A# Major,2021/10/08
2023/02/07,Fly Gyal,Artie J,,Emotional Indulgence,180,R&B,Trap Soul,140,B Minor,2021/10/08
2023/02/07,Backseat,Joe Trufant,,Fall Through 2,209,R&B,Contemporary R&B,102,D Minor,2020/04/10
2023/02/07,Recognize (feat. Drake),PARTYNEXTDOOR,Drake,PARTYNEXTDOOR TWO,311,R&B,Trap Soul,120,D Major,2014/07/29
2023/02/07,Break From Toronto,PARTYNEXTDOOR,,PARTYNEXTDOOR,99,R&B,Trap Soul,117,A Major,2013/07/01
2023/02/07,Extra,Future,,SAVE ME,173,Hip-Hop,Trap,106,G# Minor,2019/06/07
2023/02/07,Redbone,Era,,Redbone,179,R&B,Trap Soul,91,C# Minor,2020/03/20
2023/02/07,Where Ya At (feat. Drake),Future,Drake,DS2 (Deluxe),208,Hip-Hop,Trap,162,C# Major,2015/07/17
2023/02/07,Mask Off,Future,,FUTURE,204,Hip-Hop,Trap,150,D Major,2017/06/30
2023/02/07,Lie To Me,Black Atlass,,Dream Awake,210,R&B,Alternative R&B,158,B Minor,2020/04/03
2023/02/07,Run This,PLAZA,,SHADOW,233,R&B,Alternative R&B,114,D# Minor,2017/06/11
2023/02/07,MEDICINE,Lyfe Harris,,ENIGMA,163,R&B,Trap Soul,85,F# Minor,2022/02/18
2023/02/07,Stick Talk,Future,,DS2 (Deluxe),171,Hip-Hop,Trap,160,G Major,2015/07/17
2023/02/07,Belong To The World,The Weeknd,,Kiss Land,307,R&B,Alternative R&B,121,F Minor,2013/01/01
2023/02/07,Live For,The Weeknd,Drake,Kiss Land,222,R&B,Alternative R&B,76,C Major,2013/01/01
